Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1.0,0.5342946648597717,0.7317330837249756,0.47422292828559875,0.7696078419685364
2.0,0.44053202867507935,0.7927234172821045,0.4146026074886322,0.8192402124404907
3.0,0.3752215802669525,0.8286533951759338,0.3525424301624298,0.8492646813392639
4.0,0.32161614298820496,0.8585447072982788,0.31864988803863525,0.8639705777168274
5.0,0.282516747713089,0.8751509785652161,0.26755988597869873,0.8854166865348816
6.0,0.26194095611572266,0.8885869383811951,0.25778070092201233,0.8884803652763367
7.0,0.24977679550647736,0.89673912525177,0.25564417243003845,0.8860294222831726
8.0,0.23955759406089783,0.8999094367027283,0.2605001926422119,0.8841911554336548
9.0,0.23168633878231049,0.9038345217704773,0.25190484523773193,0.8872548937797546
10.0,0.22579823434352875,0.9059480428695679,0.24709710478782654,0.8939951062202454
